source_node,target_node,relationship_type,relationship_source,relationship_strength,clinical_substitution_supported,graph_view
NODE_DEXTROMETHORPHAN,NODE_PSEUDOEPHEDRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007527, 690466, 1009091, 818931, 466431, 466524, 802573, 466566, 1190599, 214492, 1008255, 691217, 690808, 689582, 689778, 816433, 214495, 1094349, 1007141, 1008500, 466569)",0.4,False,SIMILARITY
NODE_DEXTROMETHORPHAN,NODE_PHENYLEPHRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008092, 1492051, 1008854, 689776, 1008349, 1053102, 1008393, 1653133, 1664630, 689580, 1008701, 689779, 1007050, 1648575, 827172, 214496, 2173661, 1009013, 1053120, 1008802, 1008002, 1427391, 1007336, 689389, 617568, 214494, 605570, 1089042, 705259, 1111420, 1008481, 1007904, 1743368, 1008443, 1008635, 689387, 466486, 1007759)",0.4,False,SIMILARITY
NODE_DEXTROMETHORPHAN,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689777, 466524, 1664630, 689580, 1008701, 689779, 689775, 466566, 2173661, 1007587, 1008802, 689582, 689778, 705258, 2173666, 705259, 214180, 1007119, 1743368, 1007141, 1008500, 466569, 1008252, 689780, 689776)",0.4,False,SIMILARITY
NODE_DEXTROMETHORPHAN,NODE_NAPROXEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (2737699),0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_PHENYLEPHRINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1008610, 690093, 1007162, 689750, 1008836, 1007084)",0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_IBUPROFEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (404789, 214652)",0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (466524, 815003, 214187, 1008893, 1008706, 1007572, 689802, 814483, 689786, 466566, 689582, 689778, 1008083, 689765, 1007269, 689558, 817379, 285036, 1007141, 1008500, 466569, 466517, 1008295)",0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_NAPROXEN,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (284641),0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_HYDROCODONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (214631, 1008955, 404780, 214604, 284630, 700821, 466514, 466529, 1007084)",0.4,False,SIMILARITY
NODE_PSEUDOEPHEDRINE,NODE_ATROPINE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689593, 1007767, 1007162, 1008610)",0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_IBUPROFEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1310502, 1007329)",0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_ACETAMINOPHEN,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (689776, 689584, 617772, 1008871, 1008644, 631158, 689570, 1664630, 689579, 689580, 1006887, 1009140, 1008701, 689779, 817911, 819002, 819910, 2173661, 689585, 689583, 1008802, 1241828, 1007130, 689566, 705259, 813110, 1008298, 1743368, 214186, 689785)",0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_HYDROCODONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (607163, 214628, 1008298, 1007791, 214633, 668889, 672626, 607464, 214603, 214409, 1008793, 605572, 1007084, 817497)",0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_KETOROLAC,CO_FORMULATED_WITH,RxNorm MIN co-formulation concept (1540229),0.4,False,SIMILARITY
NODE_PHENYLEPHRINE,NODE_PREDNISOLONE,CO_FORMULATED_WITH,"RxNorm MIN co-formulation concept (1007257, 689752)",0.4,False,SIMILARITY
